nome_da_música,nome_do_artista,rank_de_todos_os_tempos,pontuação_da_faixa,reproduções_spotify,contagem_de_playlists_spotify,alcance_das_playlists_spotify,popularidade_no_spotify,contagem_playlists_apple_music,contagem_playlists_deezer,alcance_playlists_deezer
Miles On It,Marshmello,992,48.2,"41,924,126","3,794","124,369,916",79,87,51,"8,224,597"
PICK UP THE PHONE (feat. Nate Dogg),PAWSA,995,48.1,"2,284,977","1,425","11,819,359",22,13,16,"206,878"
Tomorrow 2 (with Cardi B),GloRilla,996,48.1,"157,806,193","27,840","14,490,602",64,41,6,"22,426"
Se Preparï¿,Ozuna,997,48.1,"846,909,112","81,897","37,257,314",73,50,18,"197,244"
Lost on You,LP,998,48.1,"837,042,727","127,522","22,902,207",70,80,105,"511,599"
Leï¿½,Marï¿½ï¿½lia Mendo,999,48,"415,752,953","20,588","32,327,663",66,26,55,"7,373,693"
"\"What Jhumka ? (From \"\"Rocky Aur Rani Kii Prem Kahaani\"\")\"",Pritam,"1,005",47.9,"159,909,273","7,624","11,285,253",64,12,1,"1,097"
Lean Wit Me,Juice WRLD,"1,001",47.9,"880,781,313","137,341","29,154,307",72,21,10,"71,637"
HOTEL LOBBY (Unc & Phew),Quavo,"1,002",47.9,"399,707,517","131,547","25,873,871",69,66,12,"1,000,634"
Panini,Lil Nas X,"1,003",47.9,"741,766,886","96,241","16,599,790",62,68,22,"405,827"
She Had Me At Heads Carolina,Cole Swindell,"1,007",47.9,"244,709,550","33,533","14,159,174",69,31,4,"96,022"
"So Long, London",Taylor Swift,"1,008",47.8,"175,613,480","4,454","20,883,678",84,29,6,"284,806"
good 4 u,Olivia Rodrigo,"1,009",47.8,"2,167,768,056","12,805","3,065,794",54,93,6,"192,922"
bad idea right?,Olivia Rodrigo,"1,012",47.7,"433,515,672","37,313","23,894,665",12,73,38,"8,664,321"
"Ay, DiOs Mï¿½ï",KAROL G,"1,016",47.7,"599,215,039","57,051","16,707,832",61,111,25,"244,418"
happier,Olivia Rodrigo,"1,015",47.7,"1,133,535,049","116,055","29,173,011",79,56,11,"193,230"
Lalala,Y2K,"1,010",47.7,"968,133,091","142,494","16,656,325",66,76,33,"6,401,270"
Tubarï¿½ï¿½o Te,Dj LK da Escï¿½ï¿,"1,013",47.7,"150,177,750","30,142","13,282,269",59,9,28,"89,832"
After Hours,Kehlani,"1,019",47.6,"34,629,239","3,962","55,053,444",14,49,17,"215,137"
Monkeys Spinning Monkeys,Kevin MacLeod,"1,018",47.6,"11,477,477","7,679","1,490,705",36,4,1,"43,207"
One Kiss (with Dua Lipa),Calvin Harris,"1,024",47.5,"2,178,606,166","291,456","162,511,602",79,458,548,"3,408,335"
Mmhmm,BigXthaPlug,"1,020",47.5,"155,648,648","28,131","46,683,719",82,20,1,"1,924"
BOP,DaBaby,"1,021",47.5,"820,923,123","158,363","34,079,735",68,68,38,"202,117"
Husn,Anuv Jain,"1,023",47.5,"181,457,783","12,424","10,746,664",74,9,1,"1,097"
Titanium (feat. Sia),Sia,"1,031",47.4,"1,634,403,761","244,291","103,798,139",74,253,142,"1,062,057"
Kahani Suno 2.0,Kaifi Khalil,"1,027",47.4,"296,648,613","21,479","6,678,540",68,2,1,"1,097"
No_se_ve.mp3,Emilia,"1,025",47.4,"218,340,846","30,667","18,842,918",64,20,30,"766,172"
Arcade,Duncan Laurence,"1,029",47.4,"1,184,536,529","199,838","52,970,224",69,124,51,"343,757"
Ya Te Olvide,Natanael Cano,"1,032",47.4,"38,139,811","1,763","29,137,587",79,9,2,"1,229,099"
How Deep Is Your Love,Calvin Harris,"1,026",47.4,"1,156,342,373","168,603","66,723,908",78,364,132,"734,737"
BUTTERFLY EFFECT,Travis Scott,"1,028",47.4,"1,388,024,799","219,410","37,089,107",79,133,31,"285,491"
Let You Down,NF,"1,034",47.2,"1,472,430,869","187,536","40,032,849",73,68,30,"104,624"
Bad Memories (feat. Elley Duhï¿½ï¿½ & FAST,MEDUZA,"1,035",47.2,"460,973,352","87,026","76,037,102",69,93,59,"1,721,803"
Yo Perreo Sola,Bad Bunny,"1,036",47.1,"745,086,450","95,154","29,388,631",67,128,35,"372,403"
ETA,NewJeans,"1,038",47.1,"234,215,735","20,419","7,910,753",74,24,2,"18,940"
Jordan,Ryan Castro,"1,037",47.1,"535,847,791","57,454","22,561,916",73,23,9,"55,353"
Take You Dancing,Jason Derulo,"1,039",47.1,"716,319,941","98,905","32,882,211",65,145,91,"3,010,119"
Be Alright,Dean Lewis,"1,042",47,"1,749,353,402","182,732","81,424,354",72,148,47,"238,867"
Jalebi Baby,Tesher,"1,041",47,"164,137,928","47,324","4,827,888",58,43,3,"1,874"
Endless Summer,Alan Walker,"1,040",47,"28,340,672","7,147","9,900,066",55,8,10,"108,472"
Belly Dancer,Imanbek,"1,047",46.9,"547,114,702","110,008","103,107,258",75,85,73,"1,992,797"
Who Told You (feat. Drake),J Hus,"1,046",46.9,"142,574,143","72,496","16,207,605",62,90,36,"503,882"
NIGHT DANCER,imase,"1,045",46.9,"239,149,370","46,984","6,134,615",67,32,3,"10,100"
DON'T YOU WORRY,Black Eyed Peas,"1,044",46.9,"302,939,117","48,916","26,723,190",62,57,51,"1,215,691"
MIDDLE OF THE NIGHT,Elley Duhï¿,"1,054",46.8,"1,104,008,150","173,612","51,608,714",72,72,35,"997,273"
Volando (Remix),Mora,"1,052",46.8,"701,919,939","105,247","22,304,375",68,85,21,"301,957"
Moth To A Flame (with The Weeknd),Swedish House Mafia,"1,056",46.8,"861,100,951","153,435","41,139,591",74,122,64,"3,075,152"
Solteiro Forï¿½ï¿½ado - (Boiadeira Internacio,Ana Castela,"1,051",46.8,"210,195,998","10,723","12,965,116",65,6,22,"7,921,538"
"\"Naina (From \"\"Crew\"\")\"",Diljit Dosanjh,"1,049",46.8,"65,661,355","2,351","12,360,484",76,16,2,"1,606"
Dï¿½ï¿½jala Que Vuelva (feat. Manuel Tur,Piso 21,"1,061",46.6,"871,780,891","56,085","22,005,461",68,41,46,"5,165,685"
Feel the POP,ZEROBASEONE,"1,060",46.6,"8,699,917",533,"10,481,435",58,5,4,"34,481"
Diamonds,Rihanna,"1,063",46.5,"1,419,912,461","180,128","62,951,327",70,164,123,"1,169,312"
Fuera del mercado,Danny Ocean,"1,064",46.5,"535,013,440","57,772","25,048,190",71,54,32,"910,491"
El Cielo,Sky Rompiendo,"1,068",46.4,"354,097,795","53,606","50,446,311",74,64,37,"398,533"
BITTERSUITE,Billie Eilish,"1,066",46.4,"58,810,212","3,394","9,510,078",87,31,5,"159,005"
Me Fui de Vacaciones,Bad Bunny,"1,067",46.4,"366,872,354","61,014","15,444,758",68,14,8,"482,273"
Talk (feat. Disclosure),Khalid,"1,065",46.4,"968,194,426","121,168","29,487,473",64,171,58,"635,116"
Reloj,Rauw Alejandro,"1,072",46.2,"579,749,218","90,725","22,415,388",65,89,22,"291,938"
Youï¿½ï¿½ï¿½re Mines Still (feat.,Yung Bleu,"1,075",46.1,"233,139,871","77,694","13,955,396",63,53,5,638
BADGYAL,SAIKO,"1,076",46.1,"56,282,981","5,849","51,387,051",80,25,11,"2,671,234"
Sorry 4 The Wait,Lil Wayne,"1,079",46,"24,285,898","8,422","1,181,602",54,1,1,"23,919"
DILUVIO,Rauw Alejandro,"1,078",46,"310,562,790","33,458","54,918,981",79,55,42,"3,054,645"
ZEZE (feat. Travis Scott & Offset),Kodak Black,"1,080",46,"1,070,685,587","203,323","32,147,932",71,82,27,"129,554"
"\"Kesariya (From \"\"Brahmastra\"\")\"",Pritam,"1,084",46,"516,740,949","30,584","13,659,510",67,35,1,"1,097"
Bartolito,Duo Tiempo de Sol,"1,082",46,"70,061,366","6,847","1,133,511",62,2,1,"3,695"
Peaches,Jack Black,"1,077",46,"144,252,786","35,929","3,276,465",64,17,3,"146,493"
Take My Breath - Single Version,The Weeknd,"1,085",45.9,"465,348,362","89,586","17,062,402",57,151,46,"2,548,365"
Lavender Haze,Taylor Swift,"1,090",45.9,"711,138,043","42,535","28,394,531",73,66,11,"844,207"
KU LO SA - A COLORS SHOW,Oxlade,"1,089",45.9,"331,419,634","92,569","17,049,738",68,116,47,"729,868"
Toca o Trompete,Felipe Amorim,"1,087",45.9,"166,784,328","15,122","14,569,377",66,10,19,"541,722"
Nobody Gets Me,SZA,"1,091",45.9,"561,645,790","58,561","39,587,642",82,64,40,"235,219"
Glock In My Lap,21 Savage,"1,088",45.9,"614,603,953","164,722","24,902,576",78,25,18,"196,078"
CORAZï¿½ï¿½N VA,Maria Becerra,"1,094",45.8,"251,442,618","19,913","23,463,750",71,23,20,"635,145"
PUNTO G,Quevedo,"1,096",45.8,"600,073,400","73,593","22,371,448",71,24,13,"194,411"
Ditto,NewJeans,"1,098",45.7,"614,497,357","47,586","17,245,496",74,44,2,"34,632"
Bubble Gum,NewJeans,"1,101",45.6,"20,630,900","1,536","9,077,425",76,21,2,"4,710"
PRINCESITA DE ...,Jere Klein,"1,103",45.5,"106,290,197","11,766","9,230,911",70,4,3,"122,602"
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,"1,104",45.4,"912,709,169","94,302","33,979,642",67,69,18,"995,698"
BABY HELLO,Rauw Alejandro,"1,105",45.3,"268,383,799","47,936","46,787,442",68,61,37,"817,012"
ONE CALL,Rich Amiri,"1,106",45.2,"271,566,931","33,970","50,694,559",80,15,14,"1,420,429"
2/Catorce,Rauw Alejandro,"1,107",45.2,"534,981,600","92,466","17,067,105",64,74,13,"245,959"
Ride,Twenty One Pilots,"1,110",45.2,"1,724,766,252","240,346","62,583,866",79,7,63,"409,611"
Rush,Troye Sivan,"1,109",45.2,"299,291,405","45,754","35,127,971",28,106,65,"1,709,032"
Physical,Dua Lipa,"1,115",45.1,"967,029,446","108,666","29,267,130",71,231,172,"2,365,006"
Pumped Up Kicks,Foster The People,"1,113",45.1,"1,791,778,314","344,490","131,726,745",81,195,148,"1,029,351"
Yes Indeed,Lil Baby,"1,112",45.1,"1,110,994,645","186,456","41,273,853",74,85,16,"35,032"
Open Arms (feat. Travis Scott),SZA,"1,114",45.1,"418,181,065","67,858","17,377,077",76,14,17,"190,364"
Turn Down for What,DJ Snake,"1,116",45,"547,207,250","103,666","30,719,577",65,135,53,"264,794"
Calling (feat. A Boogie wit da Hoodie) [Spider-Man: Across the Spider-Verse],Metro Boomin,"1,120",44.9,"234,350,961","56,138","13,361,149",69,59,13,"56,586"
Smokin Out The Window,Bruno Mars,"1,121",44.9,"463,977,298","100,305","15,798,103",66,81,38,"1,242,910"
Close To You,Gracie Abrams,"1,119",44.9,"13,700,065","1,162","89,144,538",74,69,16,"683,316"
From The D To The A (feat. Lil Yachty),Tee Grizzley,"1,122",44.8,"364,325,529","83,638","10,924,243",64,15,2,468
Me Rehï¿½ï,Danny Ocean,"1,126",44.8,"1,778,934,858","37,040","21,117,726",74,12,9,"21,285"
Nonsense,Sabrina Carpenter,"1,129",44.8,"817,286,460","55,620","61,610,668",83,67,20,"787,687"
Run It Up (feat. Offset & Moneybagg Yo),Lil Tjay,"1,127",44.8,"392,745,531","141,221","21,996,686",67,21,8,"131,260"
Lose You To Love Me,Selena Gomez,"1,123",44.8,"1,222,228,366","109,325","48,327,775",72,174,66,"1,080,455"
Worth It,YK Osiris,"1,125",44.8,"340,112,388","66,487","6,617,103",60,28,5,"7,457"
Fight The Feeling,Rod Wave,"1,128",44.8,"86,327,319","18,112","2,247,123",51,18,8,"929,184"
Robbery,Juice WRLD,"1,131",44.7,"1,306,374,052","213,493","32,159,591",73,45,36,"92,676"
Bebe Dame,Fuerza Regida,"1,132",44.7,"562,099,076","51,229","20,388,246",70,49,18,"2,487,813"
Green Green Grass,George Ezra,"1,133",44.7,"300,430,813","50,552","12,812,123",69,51,29,"1,067,030"
Fiel,Los Legendarios,"1,130",44.7,"642,558,596","106,151","40,485,324",64,77,24,"1,535,610"
Neverita,Bad Bunny,"1,139",44.6,"831,868,563","93,211","21,780,286",73,36,12,"806,258"
Infinity,Jaymes Young,"1,138",44.6,"1,059,940,209","169,454","48,961,048",74,15,46,"991,994"
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd,"1,142",44.5,"812,954,133","137,681","53,947,304",81,147,43,"1,369,406"
adore u,Fred again..,"1,141",44.5,"129,427,492","44,672","48,826,452",71,69,34,"206,415"
Numb Little Bug,Em Beihold,"1,143",44.5,"360,584,207","68,868","18,801,509",66,34,19,"22,388"
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,"1,144",44.4,"822,696,809","141,261","26,970,098",68,184,117,"1,507,919"
Faz um Vuk Vuk (Teto Espelhado),MC Kevin o Chris,"1,145",44.4,"222,879,686","26,854","23,489,333",68,16,31,"3,017,351"
Suicidal,YNW Melly,"1,146",44.4,"572,441,305","113,061","13,801,176",67,20,4,"71,838"
Sky,Playboi Carti,"1,147",44.3,"710,319,373","209,136","30,701,216",74,31,10,"187,089"
Payphone,Maroon 5,"1,153",44.2,"1,828,026,153","249,663","71,678,167",78,58,112,"258,125"
Brickell,Feid,"1,150",44.2,"59,546,208","5,064","62,237,863",79,32,15,"3,085,319"
I Like Me Better,Lauv,"1,152",44.2,"1,784,308,411","157,818","34,910,721",75,92,34,"251,654"
RUNAWAY,OneRepublic,"1,154",44.2,"127,466,467","16,650","19,684,494",67,57,43,"1,138,179"
Que Se Cuide,Luis R Conriquez,"1,151",44.2,"36,145,614","1,566","48,637,114",77,3,2,"1,556,280"
On My Love,Zara Larsson,"1,159",44.1,"128,024,416","20,826","60,798,732",7,73,82,"4,576,277"
Mujeriego,Ryan Castro,"1,158",44.1,"285,723,562","63,343","16,024,245",63,32,28,"11,861,287"
Miss The Rage (feat. Playboi Carti),Trippie Redd,"1,160",44.1,"535,695,469","188,778","26,774,987",6,58,15,"112,154"
TUTA GOLD,Mahmood,"1,157",44.1,"95,029,509","5,218","9,118,781",65,28,13,"3,804,779"
My Boy Only Breaks His Favorite Toys,Taylor Swift,"1,161",44,"161,916,445","3,784","17,036,800",83,32,7,"176,069"
Legends,Juice WRLD,"1,166",44,"681,282,854","118,639","18,809,173",63,16,19,"62,644"
Black Beatles,Rae Sremmurd,"1,164",44,"972,005,229","186,174","27,470,180",69,160,45,"153,694"
Girls Want Girls (with Lil Baby),Drake,"1,168",43.9,"459,480,135","137,691","22,202,207",68,77,24,"203,415"
Linger - SiriusXM Session,Royel Otis,"1,171",43.9,"8,053,814",908,"11,708,987",69,16,1,"120,583"
SLOW DANCING IN THE DARK,Joji,"1,167",43.9,"1,291,244,134","241,882","48,328,259",29,39,6,"14,150"
Addicted,Zerb,"1,170",43.9,"63,142,772","7,213","65,806,267",79,23,18,"586,251"
Besos Moja2,Wisin & Yandel,"1,176",43.8,"416,361,102","48,450","23,910,344",69,42,25,"555,110"
Wake Up in the Sky,Gucci Mane,"1,173",43.8,"996,942,947","188,378","27,325,666",71,40,31,"108,234"
Chanel,Becky G,"1,175",43.8,"287,853,890","21,244","8,675,975",65,31,12,"378,233"
Otro Trago,Sech,"1,172",43.8,"693,061,510","73,605","21,529,712",63,56,9,"344,693"
Back In Blood (feat. Lil Durk),Pooh Shiesty,"1,180",43.7,"378,239,461","126,894","19,992,900",62,72,4,"56,079"
Jugaste y Sufrï¿,Eslabon Armado,"1,182",43.7,"492,509,763","83,013","10,228,918",70,17,2,156
Una Foto Remix (feat. Emilia),Mesita,"1,181",43.7,"206,001,461","15,932","35,397,476",78,14,26,"552,100"
Religiously,Bailey Zimmerman,"1,178",43.7,"225,556,005","25,164","10,017,767",73,28,2,644
What Happened To Virgil (feat. Gunna),Lil Durk,"1,179",43.7,"144,889,291","63,045","7,698,742",59,31,3,"245,510"
Hello,Adele,"1,186",43.6,"1,550,553,401","140,637","42,531,792",68,288,166,"496,477"
HAY LUPITA,Lomiiel,"1,187",43.6,"22,692,011","1,996","19,217,759",71,13,4,"492,038"
Gatita,Bellakath,"1,184",43.6,"218,661,601","25,714","8,048,259",57,8,3,"154,370"
World on Fire,Nate Smith,"1,183",43.6,"100,360,956","15,383","9,521,311",69,19,6,"23,353"
Love You Anyway,Luke Combs,"1,185",43.6,"164,507,374","29,896","7,920,265",67,20,2,592
MOJABI GHOST,Tainy,"1,188",43.5,"368,429,447","46,625","20,677,828",75,52,11,"847,361"
N95,Kendrick Lamar,"1,194",43.4,"426,936,498","118,020","24,734,503",74,48,21,"357,536"
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],Metro Boomin,"1,191",43.4,"325,654,069","108,296","18,764,224",71,15,4,"73,801"
Earned It (Fifty Shades Of Grey),The Weeknd,"1,195",43.4,"1,667,089,416","97,707","24,754,802",69,26,11,"278,161"
Gucci Gang,Lil Pump,"1,189",43.4,"648,757,330","66,961","13,429,975",55,62,20,"52,013"
Jaded,Miley Cyrus,"1,197",43.3,"173,349,210","22,117","9,481,406",65,40,41,"782,200"
Bye,Peso Pluma,"1,196",43.3,"252,239,644","24,974","6,379,185",65,35,3,"132,211"
L$d,Luclover,"1,199",43.3,"34,621,941","15,846","2,877,860",36,1,2,"25,486"
Wolves,Selena Gomez,"1,200",43.3,"1,358,424,406","123,735","33,188,573",71,116,53,"382,928"
Scars To Your Beautiful,Alessia Cara,"1,201",43.2,"1,422,563,654","129,568","38,951,634",71,138,39,"217,966"
FRI(END)S,V,"1,203",43.2,"196,612,187","3,800","44,868,049",85,16,33,"11,190,250"
Surface Pressure,Jessica Darrow,"1,204",43.2,"318,018,082","41,062","14,552,186",65,35,1,"10,044"
Volver Al Futuro,Oscar Maydon,"1,202",43.2,"25,593,926","1,247","63,521,139",78,18,10,"1,604,245"
Praise God,Kanye West,"1,208",43.1,"451,323,154","143,071","22,968,843",67,24,10,"38,020"
Friesenjung,Ski Aggu,"1,205",43.1,"150,508,549","70,377","9,755,773",70,24,12,"67,068"
El Azul,Junior H,"1,206",43.1,"684,103,586","42,304","22,784,674",76,37,4,"1,164,409"
EARFQUAKE,"Tyler, The Creator","1,207",43.1,"962,546,385","198,786","34,308,753",76,106,52,"709,963"
Ya Supï¿½ï¿½rame (En V,Grupo Firme,"1,210",43,"347,218,974","34,933","16,279,085",57,23,2,"6,546"
if u think i'm pretty,Artemas,"1,212",43,"219,995,278","26,538","17,112,526",78,18,12,"129,691"
Fin de Semana,Oscar Maydon,"1,211",43,"568,846,143","38,126","18,723,665",76,25,4,"1,270,150"
My Oh My (feat. DaBaby),Camila Cabello,"1,218",42.9,"703,865,912","78,873","23,552,368",68,74,41,"101,125"
Forever After All,Luke Combs,"1,217",42.9,"472,886,929","66,543","14,596,512",70,71,9,"18,449"
Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,"1,213",42.9,"578,061,816","190,490","26,875,379",67,28,10,"7,293"
Numb,Marshmello,"1,219",42.9,"401,066,217","70,661","51,920,160",69,79,51,"1,008,113"
Ojapiano,KCee,"1,222",42.8,"27,444,985","8,182","3,092,737",56,18,1,"112,183"
Area Codes,Kaliii,"1,220",42.8,"228,240,866","33,819","27,729,274",68,37,5,"60,728"
Medallo,Blessd,"1,224",42.8,"452,087,681","66,494","24,042,564",65,53,13,"1,704,398"
Riptide,Vance Joy,"1,223",42.8,"2,541,833,602","369,150","165,607,442",80,231,91,"540,337"
Ch y la Pizza,Fuerza Regida,"1,230",42.7,"511,421,362","37,923","17,851,037",75,24,9,"1,456,328"
In Ha Mood,Ice Spice,"1,234",42.7,"190,126,590","39,734","15,519,701",63,47,14,"202,602"
POR QUï¿½ï¿½ SE,Grupo Frontera,"1,225",42.7,"29,906,024","1,596","46,272,988",76,14,9,"2,186,605"
ALL MINE,Brent Faiyaz,"1,232",42.7,"315,014,005","61,987","22,567,278",71,27,3,"28,284"
Let Me Know (I Wonder Why Freestyle),Juice WRLD,"1,231",42.7,"503,584,339","126,610","15,066,503",72,14,5,"64,314"
The Night We Met,Lord Huron,"1,226",42.7,"2,097,181,065","286,668","123,211,490",84,78,49,"1,101,868"
Playa Del Inglï¿½,Quevedo,"1,227",42.7,"347,558,532","68,744","34,228,107",67,18,19,"264,043"
HOLA PERDIDA REMIX,Luck Ra,"1,228",42.7,"8,981,282",873,"40,161,269",70,14,29,"398,272"
Talk,Yeat,"1,229",42.7,"242,057,987","77,898","8,717,113",67,10,1,"4,435"
For Life (feat. Zak Abel & Nile Rodgers),Kygo,"1,240",42.6,"36,844,307","4,216","90,998,184",76,71,71,"14,633,006"
California Breeze,Lil Baby,"1,237",42.6,"116,994,951","45,626","8,408,366",61,44,5,"90,714"
Nonstop,Drake,"1,239",42.6,"1,118,459,427","175,188","51,548,109",71,147,28,"228,758"
LOVE DIVE,IVE,"1,243",42.5,"397,988,770","28,165","11,131,897",69,31,7,"42,644"
Go Stupid,Polo G,"1,241",42.5,"416,388,749","112,485","21,170,575",69,27,11,"24,022"
POPSTAR (feat. Drake),DJ Khaled,"1,247",42.4,"712,664,065","165,234","35,485,186",63,183,50,"80,760"
Qual ï¿½ï¿½ o seu des,Tz da Coronel,"1,244",42.4,"71,586,678","6,088","12,104,937",73,17,36,"7,534,674"
Lovesick Girls,BLACKPINK,"1,248",42.4,"561,712,007","40,766","14,363,550",65,55,16,"106,541"
Solo (feat. Demi Lovato),Clean Bandit,"1,246",42.4,"1,042,065,058","114,049","30,877,323",64,126,110,"433,384"
Una Vida Pasada,Camilo,"1,249",42.4,"50,955,386","2,952","47,126,163",81,40,42,"3,315,443"
Steven Universe,L.Dre,"1,245",42.4,"54,104,852","14,464","2,212,197",50,5,2,287
places to be,Fred again..,"1,250",42.4,"11,581,454","2,277","40,816,159",73,51,29,"929,803"
Corazï¿½,Maluma,"1,251",42.3,"598,040,653","52,952","15,758,764",64,38,31,"141,022"
Elvira,Oscar Maydon,"1,255",42.3,"183,146,334","8,183","47,711,465",81,13,10,"2,291,939"
Fantasias,Rauw Alejandro,"1,253",42.3,"663,578,551","76,919","24,789,585",67,60,23,"251,089"
Am,Nio Garcia,"1,257",42.2,"361,357,607","70,546","11,143,810",57,27,11,"1,615,617"
Te Lo Agradezco,Kany Garcï¿½,"1,258",42.2,"169,162,533","9,016","8,885,567",73,14,22,"3,911,259"
PLEBADA,El Alfa,"1,260",42.2,"148,677,837","17,100","7,456,228",65,21,4,"30,339"
Marea (Weï¿½ï¿½ï¿½ve Lost Da,Fred again..,"1,259",42.2,"336,943,720","191,372","29,642,267",71,91,38,"184,585"
Fall In Love,Bailey Zimmerman,"1,262",42.2,"262,185,115","47,288","6,430,525",71,25,3,"95,430"
Guilty as Sin?,Taylor Swift,"1,264",42.1,"165,611,453","4,418","21,928,475",78,34,7,"79,183"
Waiting For Love,Avicii,"1,263",42.1,"1,397,975,653","205,128","62,368,816",74,130,69,"344,319"
BOMBï¿½,Daddy Yankee,"1,272",42,"129,335,327","27,681","6,391,085",60,10,13,"79,203"
EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),DJ Khaled,"1,271",42,"352,955,079","108,705","24,218,793",68,73,8,"85,919"
Mo Bamba,Sheck Wes,"1,266",42,"1,056,346,890","198,581","38,436,526",71,74,26,"182,979"
Bank Account,21 Savage,"1,267",42,"1,150,653,471","195,032","31,101,180",70,112,45,"159,480"
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,"1,269",42,"939,627,795","67,381","127,728,248",87,61,65,"10,250,543"
Get You The Moon (feat. Snï¿½ï,Kina,"1,270",42,"1,020,435,750","157,944","42,123,948",69,70,51,"819,864"
Never Felt So Alone,Labrinth,"1,275",41.9,"269,669,185","44,019","21,429,823",67,43,23,"268,315"
Love Me JeJe,Tems,"1,274",41.9,"34,621,656","4,787","53,092,639",76,104,34,"563,039"
Heather,Conan Gray,"1,276",41.8,"1,675,083,208","191,604","123,682,546",80,105,42,"628,449"
Come & Go (with Marshmello),Juice WRLD,"1,277",41.8,"959,313,617","180,366","25,884,639",71,55,18,"72,159"
Mas Rica Que Ayer,Anuel AA,"1,278",41.7,"256,112,908","34,370","18,181,647",67,18,5,"132,180"
Love Again,Dua Lipa,"1,279",41.7,"665,464,734","90,805","19,218,236",67,104,46,"572,047"
Bï¿½ï¿½cane - A COLORS,Yamï¿,"1,280",41.7,"120,595,666","37,922","4,374,053",69,22,6,"175,058"
Giving Me,Jazzy,"1,284",41.6,"150,463,218","44,298","37,322,737",67,55,27,"1,088,411"
What Do You Mean?,Justin Bieber,"1,282",41.6,"1,599,742,798","137,106","54,447,816",74,272,102,"802,236"
Bailando - English Version,Enrique Iglesias,"1,289",41.5,"218,205,900","28,233","7,288,674",50,23,15,"105,771"
TV,Billie Eilish,"1,285",41.5,"572,602,278","80,064","39,873,526",76,53,33,"1,444,349"
But Daddy I Love Him,Taylor Swift,"1,286",41.5,"154,819,909","3,535","21,565,868",76,41,5,"52,934"
Tiroteo - Remix,Marc Seguï¿,"1,288",41.5,"654,941,874","83,163","29,637,614",75,65,34,"347,762"
pushin P (feat. Young Thug),Gunna,"1,291",41.4,"368,155,242","125,521","25,605,777",65,59,25,"560,118"
Take Me to Church,Hozier,"1,293",41.4,"2,544,489,950","238,611","69,693,570",78,172,116,"2,848,734"
It's You,Ali Gatie,"1,292",41.4,"1,123,039,235","140,766","29,272,883",72,67,38,"622,944"
Love Lee,AKMU,"1,294",41.4,"72,468,277","10,736","4,247,248",65,10,2,"211,572"
Jump,Tyla,"1,295",41.4,"95,341,415","10,243","123,617,533",77,83,61,"2,010,236"
Venom - Music From The Motion Picture,Eminem,"1,290",41.4,"788,282,679","139,716","24,601,490",68,17,8,"245,877"
Basit Numaralar,Zerrin ï¿½ï¿,"1,299",41.3,"57,370,965","7,149","2,238,082",58,8,2,"1,567,770"
Karma,Taylor Swift,"1,297",41.3,"777,305,444","47,435","45,285,568",75,63,18,"2,515,239"
The Painter,Cody Johnson,"1,298",41.3,"107,754,524","16,004","19,123,002",66,25,4,"89,113"
Vista Al Mar,Quevedo,"1,303",41.2,"511,726,944","74,845","23,960,314",68,15,15,"49,325"
Imagine,Carbonne,"1,301",41.2,"35,864,342","3,113","9,735,703",77,18,26,"18,492,883"
All The Stars (with SZA),Kendrick Lamar,"1,304",41.2,"1,638,529,683","207,686","66,120,497",82,152,73,"194,391"
X (feat. Future),21 Savage,"1,302",41.2,"581,220,786","115,125","20,776,088",65,94,16,"78,389"
CRAZYZ,Fuerza Regida,"1,314",41.1,"202,633,616","12,683","18,918,954",78,11,14,"1,870,596"
Passionfruit,Drake,"1,309",41.1,"1,625,307,365","288,559","72,837,714",77,241,76,"401,696"
Like Crazy,Jimin,"1,308",41.1,"1,165,398,518","16,425","22,818,507",84,20,38,"10,012,693"
I Donï¿½ï¿½ï¿½t Wanna Live Forever (Fifty Shades D,ZAYN,"1,312",41.1,"1,662,288,901","129,306","54,219,735",75,130,72,"721,612"
What It Is (Solo Version),Doechii,"1,311",41.1,"308,738,277","38,674","36,667,220",70,29,13,"238,695"
Bad and Boujee (feat. Lil Uzi Vert),Migos,"1,307",41.1,"936,450,891","173,279","29,410,941",66,194,36,"153,558"
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),Enrique Iglesias,"1,313",41.1,"706,158,416","87,667","24,084,151",65,76,57,"239,183"
Soak City (Do it),310babii,"1,310",41.1,"128,855,739","26,723","26,216,067",65,14,3,"909,981"
The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,"1,319",41,"560,691,819","166,545","26,349,705",65,74,18,"130,497"
Cheerleader - Felix Jaehn Remix Radio Edit,OMI,"1,318",41,"1,663,491,433","49,556","9,366,950",52,267,142,"1,215,325"
Woah (feat. D3Mstreet),KRYPTO9095,"1,315",41,"92,985,109","21,725","3,265,269",45,11,4,"54,214"
Wrecking Ball,Miley Cyrus,"1,316",41,"930,004,605","113,036","73,538,856",73,168,99,"530,866"
